STOP_FRISK_ID,STOP_FRISK_DATE,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_PREMISES_NAME,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
11,1/1/2018,0:20:00,2018,January,Monday,Based on Self Initiated,APP,DTS,425,LT,425,Y,O,P,PSB,1,CPW,2,Y,,N,Y,CPW,N,,Y,,,,Y,N,Y,Y,,,Y,,,,,,,Y,,,,,,,,,,Y,,,,,,,,DE,CALM,22,MALE,BLACK,6.1,220,MED,BRO,BLK,,67,D,,4410 AVENUE D,,AVENUE D,1002310,173104,,PBBS,BROOKLYN
12,1/1/2018,1:35:00,2018,January,Monday,Based on Radio Run,APP,POM,68,SGT,68,Y,I,P,PSB,1,OTHER,10,Y,,Y,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,,,Y,,,,,,,,,,DE,CALM,53,MALE,WHITE,5.8,190,XXX,BLK,BLK,,68,G,,8924 3 AVENUE,,3 AVENUE,975341,165511,,PBBS,BROOKLYN
13,1/1/2018,1:35:00,2018,January,Monday,Based on Radio Run,APP,POM,68,SGT,68,Y,I,P,PSB,1,OTHER,10,Y,,Y,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,,,Y,,,,,,,,,,DE,CALM,17,MALE,WHITE,5.8,150,XXX,BRO,BLK,,68,G,,8924 3 AVENUE,,3 AVENUE,975341,165511,,PBBS,BROOKLYN
14,1/1/2018,9:25:00,2018,January,Monday,Based on C/W on Scene,APP,POM,71,LT,71,Y,,,,0,ASSAULT,5,Y,,N,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,,,,,,,,,Y,,,,,,,,DE,UNDERSTANDING WHY SHE WAS STOPPED,57,FEMALE,BLACK,5.3,140,THN,BRO,BLK,,71,A,E14,377 MONTGOMERY STREET,,MONTGOMERY STREET,997566,181727,,PBBS,BROOKLYN
15,1/1/2018,8:38:00,2018,January,Monday,Based on Radio Run,APP,POM,73,SGT,73,Y,,,,1,ASSAULT,1,Y,,N,N,,N,,Y,,,,N,N,N,,,,N,,,,,Y,,Y,,,,,,Y,,,,,,,,,,,,DE,NORMAL,,MALE,BLACK,5.9,190,MED,BRO,XXX,,73,B,,EAST 98 STREET && SUTTER AVENUE,,EAST 98 STREET,1005571,181640,,PBBN,BROOKLYN
16,1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,5,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,Y,Y,Y,,,,,Y,,,,,,,,N/A,N/A,18,MALE,BLACK,5.5,140,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,1010526,183094,,PBBN,BROOKLYN
17,1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,5,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,,Y,,,,,Y,,,,,,,,N/A,N/A,,MALE,BLACK,5.1,120,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,1010526,183094,,PBBN,BROOKLYN
18,1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,5,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,Y,Y,,,,,Y,,,,,,,,N/A,N/A,,MALE,BLACK,5.6,160,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,1010526,183094,,PBBN,BROOKLYN
19,1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,,H,Housing,1,CPW,4,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,Y,Y,,,,,Y,,,,,,,,N/A,N/A,,MALE,BLACK,5.6,150,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,1010526,183094,,PBBN,BROOKLYN
20,1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,4,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,Y,Y,,,,,Y,,,,,,,,N/A,N/A,,MALE,BLACK,5.4,160,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,1010526,183094,,PBBN,BROOKLYN
21,1/1/2018,21:25:00,2018,January,Monday,Based on Radio Run,APP,POM,78,SGT,78,Y,,P,PSB,1,BURGLARY,5,Y,,N,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,CALM,60,MALE,BLACK,6.1,160,THN,BRO,XXX,N/A,78,C,,296 FLATBUSH AVENUE,,FLATBUSH AVENUE,991685,186357,,PBBS,BROOKLYN
22,1/1/2018,2:55:00,2018,January,Monday,Based on Radio Run,APP,POM,94,LT,94,Y,I,P,PSB,1,PETIT LARCENY,15,Y,,Y,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,Y,,,,,Y,,,,,,,DE,NERVOUS,26,MALE,BLACK,6.7,160,THN,BRO,BLK,,94,A,LOBBY,44 BERRY STREET,,BERRY STREET,996327,201975,,PBBN,BROOKLYN
23,1/1/2018,2:55:00,2018,January,Monday,Based on Radio Run,APP,POM,94,LT,94,Y,I,P,PSB,1,PETIT LARCENY,15,Y,,Y,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,,,,,,Y,,,,,,,DE,NERVOUS,25,MALE,WHITE,5.4,150,MED,GRY,BLN,,94,A,LOBBY,44 BERRY STREET,,BERRY STREET,996327,201975,,PBBN,BROOKLYN
24,1/1/2018,19:35:00,2018,January,Monday,Based on Radio Run,APP,POM,103,SGT,103,Y,O,,,1,CRIMINAL POSSESSION OF MARIHUANA,5,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,CALM,25,MALE,BLACK HISPANIC,5.5,260,HEA,BRO,BRO,,103,A,,170-06 89 AVENUE,,89 AVENUE,1042197,197876,,PBQS,QUEENS
25,1/1/2018,7:20:00,2018,January,Monday,Based on Radio Run,APP,POM,33,SGT,33,Y,O,,,1,ASSAULT,20,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,Y,,,,Y,,Y,,,,,,,,Y,,,,,,,,DE,COOPERATIVE,21,MALE,BLACK HISPANIC,5.11,170,THN,BRO,BLK,,33,C,,517 WEST 171 STREET,,WEST 171 STREET,1001905,246040,,PBMN,MANHATTAN
26,1/1/2018,17:40:00,2018,January,Monday,Based on Self Initiated,APP,POM,52,SGT,52,Y,,,,3,CPW,12,Y,,Y,N,,N,,N,,,V,Y,Y,Y,Y,,,Y,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,DE,CALM,18,MALE,BLACK,5.7,140,THN,BRO,BLK,,52,B,,EAST FORDHAM ROAD && BAINBRIDGE AVENUE,,EAST FORDHAM ROAD,1013692,253318,,PBBX,BRONX
27,1/1/2018,#N/A,2018,January,Monday,Based on Radio Run,APP,POM,113,SGT,113,Y,,,,0,ASSAULT,14,Y,,Y,N,,N,,Y,,,,Y,Y,N,,,,N,,,,,,,Y,,,,,Y,,,,,,Y,,Y,,,,,DE,UNDERSTANDING,40,MALE,BLACK,6.3,200,MED,BRO,BLK,,113,D,,201 STREET && 113 AVENUE,,201 STREET,1052351,194979,,PBQS,QUEENS
28,1/2/2018,14:50:00,2018,January,Tuesday,Based on Radio Run,APP,POF,804,SGT,804,Y,I,H,Housing,10,CRIMINAL TRESPASS,10,Y,,Y,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,N/A,26,MALE,BLACK,5.8,160,MED,BRO,BLK,N/A,9,A,,890 EAST 6 STREET,,EAST 6 STREET,990930,202346,,PBMS,MANHATTAN
29,1/2/2018,12:50:00,2018,January,Tuesday,Based on C/W on Scene,APP,POM,13,LT,13,Y,I,P,PSB,2,GRAND LARCENY,4,Y,,N,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,DE,COOPERATIVE,15,MALE,BLACK,,180,MED,BLK,BLK,BLACK/GREY HOODIE AND JACKET,13,A,,239 1 AVENUE,,1 AVENUE,989103,205769,,PBMS,MANHATTAN
30,1/2/2018,1:30:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,14,SGT,14,Y,,P,PSB,0,GRAND LARCENY AUTO,5,Y,,N,N,,N,,Y,,,,N,N,N,,,,N,,Y,Y,,,,Y,,,,,,,,,,Y,,,,,,,,DE,CALM,37,MALE,WHITE,5.9,150,THN,BRO,BLK,"GRAY KNIT CAP, BLACK JACKET, BLUE SWEAT PANTS AND GRAY SNEAKERS.",14,A,,307 5 AVENUE,,5 AVENUE,988197,211351,,PBMS,MANHATTAN
31,1/2/2018,20:48:00,2018,January,Tuesday,Based on Radio Run,APP,POM,32,SGT,32,N,O,P,PSB,1,ASSAULT,10,Y,,N,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,COOPERATIVE,55,MALE,BLACK,5.11,175,MED,BRO,XXX,,32,C,,LENOX AVENUE && WEST 136 STREET,,LENOX AVENUE,1000756,236127,,PBMN,MANHATTAN
32,1/2/2018,19:20:00,2018,January,Tuesday,Based on Radio Run,APP,POM,807,SGT,807,Y,O,H,Housing,1,OTHER,3,Y,,N,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,DE,COMPLIANT,38,MALE,WHITE,5.9,175,MED,BRO,XXX,,40,B,,340 ALEXANDER AVENUE,,ALEXANDER AVENUE,1005462,235283,,PBBX,BRONX
33,1/2/2018,22:30:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,807,SGT,807,Y,I,H,Housing,1,CRIMINAL TRESPASS,5,Y,,N,Y,CRIMINAL TRESPASS,N,,Y,,,,N,Y,N,,,,N,,,,,,,Y,,,,,,,,,,Y,,,,,Y,,,DE,CALM,43,MALE,BLACK,5.5,130,THN,BRO,BLK,TATTOOS RIGHT HAND: AMERICAN LEFT HAND: GANGSTER,40,B,,383 EAST 141 STREET,,EAST 141 STREET,1005796,234876,,PBBX,BRONX
34,1/2/2018,15:14:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,49,SGT,49,Y,,P,PSB,1,CPW,5,Y,,N,Y,CPW,N,,N,,S,,Y,Y,N,,Y,,Y,,,Y,,,,Y,,,,,Y,,,,,,,,,Y,Y,,,DE,CALM,34,MALE,WHITE,5.8,145,THN,HAZ,BLN,,49,D,,2142 WHITE PLAINS ROAD,,WHITE PLAINS ROAD,1020854,250758,,PBBX,BRONX
35,1/2/2018,21:22:00,2018,January,Tuesday,Based on C/W on Scene,APP,POM,63,LT,63,Y,I,P,PSB,1,PETIT LARCENY,5,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,,,Y,,,,,Y,,,,,,,DE,CALM,23,MALE,BLACK,5.1,220,HEA,BRO,BLK,,63,B,,1860 FLATBUSH AVENUE,,FLATBUSH AVENUE,1001218,166805,,PBBS,BROOKLYN
36,1/2/2018,21:22:00,2018,January,Tuesday,Based on C/W on Scene,APP,POM,63,LT,63,Y,I,P,PSB,1,PETIT LARCENY,5,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,,,Y,,,,,Y,,,,,,,DE,CALM,36,MALE,BLACK,5.8,160,THN,BRO,BLK,,63,B,,1860 FLATBUSH AVENUE,,FLATBUSH AVENUE,1001218,166805,,PBBS,BROOKLYN
37,1/2/2018,14:45:00,2018,January,Tuesday,Based on Radio Run,APP,POM,69,SGT,69,Y,O,P,PSB,1,PETIT LARCENY,10,Y,,N,N,,N,,Y,,,,N,N,N,,,,N,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,CALM,17,MALE,BLACK,6.5,175,THN,BRO,BLK,,69,B,,EAST 95 STREET && AVENUE N,,EAST 95 STREET,1013883,170421,,PBBS,BROOKLYN
38,1/2/2018,23:15:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,802,SGT,802,Y,I,H,Housing,1,CRIMINAL POSSESSION OF MARIHUANA,2,Y,,N,N,,N,,N,,S,V,N,N,N,,,,N,,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,DE,CALM,25,MALE,BLACK,,190,THN,BRO,BLK,BLACK HOODIE,73,C,,360 LIVONIA AVENUE,,LIVONIA AVENUE,1010786,180918,,PBBN,BROOKLYN
39,1/2/2018,21:17:00,2018,January,Tuesday,Based on C/W on Scene,APP,POM,77,SGT,77,Y,I,P,PSB,1,ROBBERY,1,Y,,N,N,,N,,N,,S,V,N,N,N,,,,N,,,Y,,,,,,,,,,Y,,,,,Y,,,,,,,DE,CALM,16,MALE,BLACK,5.7,160,THN,BRO,BRO,N/A,77,D,,216 UTICA AVENUE,,UTICA AVENUE,1003421,183872,,PBBN,BROOKLYN
40,1/2/2018,16:00:00,2018,January,Tuesday,Based on C/W on Scene,APP,POM,79,SGT,79,Y,O,P,PSB,1,PETIT LARCENY,5,Y,,N,N,,N,,Y,,,,N,Y,N,,,,N,,,,,,,Y,,,,,,Y,,,,,,,,,,Y,,DE,CALM AND QUIZZICAL,62,,BLACK,5.8,147,MED,BRO,BLK,,79,C,,NOSTRAND AVENUE && VERNON AVENUE,,NOSTRAND AVENUE,997466,192219,,PBBN,BROOKLYN
41,1/2/2018,8:30:00,2018,January,Tuesday,Based on C/W on Scene,APP,DTS,103,SGT,103,Y,O,,,1,THEFT OF SERVICES,15,Y,,N,N,,Y,"TRANSIT RULES/REG., NYC",Y,,,,Y,N,N,,,,N,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,DE,AGGRESSIVE,22,MALE,BLACK,6.1,150,THN,BRO,BLK,,103,A,,SUTPHIN BOULEVARD && JAMAICA AVENUE,,SUTPHIN BOULEVARD,1037506,195011,,PBQS,QUEENS
42,1/2/2018,19:22:00,2018,January,Tuesday,Based on Radio Run,APP,POM,106,SGT,106,Y,O,P,PSB,1,BURGLARY,27,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,Y,,,,,Y,,Y,,,,,,,,Y,Y,,,,,Y,,DE,NERVOUS,37,MALE,ASIAN / PACIFIC ISLANDER,5.7,150,MED,BRO,BLK,"BLUE SWEATER, BLUE KNIT HAT, BLACK BOOTS, GRAY JEANS, BLACK BEARD",106,D,,135 PLACE && 131 AVENUE,,135 PLACE,1038994,183615,,PBQS,QUEENS
43,1/2/2018,19:22:00,2018,January,Tuesday,Based on Radio Run,APP,POM,106,SGT,106,Y,,P,PSB,1,BURGLARY,27,Y,,Y,N,,N,,Y,,,,Y,N,N,,,,N,,,,,,,Y,,Y,,,,,,,,Y,Y,,,,,Y,,DE,NERVOUS,55,MALE,ASIAN / PACIFIC ISLANDER,5.11,180,MED,BRO,BLK,"RED TURBAN, GREEN JACKET, BLACK BOOTS, BLUE JEANS, BLACK BEARD",106,D,,135 PLACE && 131 AVENUE,,135 PLACE,1038994,183615,,PBQS,QUEENS
44,1/2/2018,18:48:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,809,SGT,809,Y,,H,Housing,1,CRIMINAL TRESPASS,3,Y,,Y,Y,CRIMINAL TRESPASS,N,,Y,,,,N,Y,N,,,,N,,,,,,,Y,,,,,,,,,,Y,,,,,Y,,,DE,COOPRATIVE/ NORMAL,16,MALE,BLACK,6.1,150,THN,BRO,BLK,NONE,114,D,,3-04 ASTORIA BOULEVARD,,ASTORIA BOULEVARD,1002551,220933,,PBQN,QUEENS
45,1/2/2018,18:45:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,809,SGT,809,Y,I,H,Housing,1,CRIMINAL TRESPASS,3,Y,,Y,Y,CRIMINAL TRESPASS,N,,Y,,,,N,Y,Y,,,,N,,,,,,,Y,,,,,,,,,,Y,,,,,Y,,,DE,COOPRATIVE,19,MALE,WHITE HISPANIC,5.9,150,MED,BRO,BLK,NONE,114,D,,3-04 ASTORIA BOULEVARD,,ASTORIA BOULEVARD,1002551,220933,,PBQN,QUEENS
